network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
1.34.0.128/25,1668284,1668284,,0,0
1.34.1.0/24,1668284,1668284,,0,0
1.34.2.0/23,1668284,1668284,,0,0
1.34.4.0/22,1668284,1668284,,0,0
1.34.8.0/21,1668284,1668284,,0,0
1.34.16.0/20,1668284,1668284,,0,0
1.34.32.0/19,1668284,1668284,,0,0
1.34.64.0/18,1668284,1668284,,0,0
1.34.128.0/17,1668284,1668284,,0,0
1.35.0.0/16,1668284,1668284,,0,0
1.36.0.0/16,1819730,1819730,,0,0
1.37.0.0/16,1694008,1694008,,0,0
1.38.0.0/15,1269750,1269750,,0,0
1.40.0.0/14,2077456,2077456,,0,0
1.44.0.0/16,2077456,2077456,,0,0
1.45.0.0/16,1814991,1814991,,0,0
1.46.0.0/19,1605651,1605651,,0,0
1.46.32.0/20,1605651,1605651,,0,0
1.46.48.0/21,1605651,1605651,,0,0
1.46.56.0/22,1605651,1605651,,0,0
1.46.60.0/32,1605651,1605651,,0,0
1.46.60.1/32,1814991,1605651,,0,0
1.46.60.2/31,1605651,1605651,,0,0
1.46.60.4/30,1605651,1605651,,0,0
1.46.60.8/29,1605651,1605651,,0,0
1.46.60.16/28,1605651,1605651,,0,0
1.46.60.32/27,1605651,1605651,,0,0
1.46.60.64/26,1605651,1605651,,0,0
1.46.60.128/25,1605651,1605651,,0,0
1.46.61.0/24,1605651,1605651,,0,0
1.46.62.0/23,1605651,1605651,,0,0
1.46.64.0/18,1605651,1605651,,0,0
1.46.128.0/17,1605651,1605651,,0,0
1.47.0.0/16,1605651,1605651,,0,0
1.48.0.0/14,1814991,1814991,,0,0
1.52.0.0/14,1562822,1562822,,0,0
1.56.0.0/13,1814991,1814991,,0,0
1.64.0.0/15,1819730,1819730,,0,0
1.66.0.0/15,1861060,1861060,,0,0
1.68.0.0/14,1814991,1814991,,0,0
1.72.0.0/13,1861060,1861060,,0,0
1.80.0.0/12,1814991,1814991,,0,0
1.96.0.0/12,1835841,1835841,,0,0
1.112.0.0/14,1861060,1861060,,0,0
1.116.0.0/14,1814991,1814991,,0,0
1.120.0.0/13,2077456,2077456,,0,0
1.128.0.0/11,2077456,2077456,,0,0
1.160.0.0/12,1668284,1668284,,0,0
1.176.0.0/15,1835841,1835841,,0,0
1.178.0.0/16,2077456,2077456,,0,0
1.179.0.0/17,2077456,2077456,,0,0
1.179.128.0/17,1605651,1605651,,0,0
1.180.0.0/14,1814991,1814991,,0,0
1.184.0.0/15,1814991,1814991,,0,0
1.186.0.0/15,1269750,1269750,,0,0
1.188.0.0/14,1814991,1814991,,0,0
1.192.0.0/13,1814991,1814991,,0,0
1.200.0.0/16,1668284,1668284,,0,0
1.201.0.0/16,1835841,1835841,,0,0
1.202.0.0/15,1814991,1814991,,0,0
1.204.0.0/14,1814991,1814991,,0,0
1.208.0.0/12,1835841,1835841,,0,0
1.224.0.0/11,1835841,1835841,,0,0
2.0.0.0/12,3017382,3017382,,0,0
2.16.0.0/22,6255148,,,0,0
2.16.4.0/23,6255148,,,0,0
2.16.6.0/23,2921044,2921044,,0,0
2.16.8.0/30,6255148,,,0,0
2.16.8.4/32,6255148,,,0,0
2.16.8.5/32,2510769,,,0,0
2.16.8.6/31,2510769,,,0,0
2.16.8.8/30,6255148,,,0,0
2.16.8.12/30,2510769,,,0,0
2.16.8.16/30,6255148,,,0,0
2.16.8.20/30,2510769,,,0,0
2.16.8.24/30,6255148,,,0,0
2.16.8.28/30,2510769,,,0,0
2.16.8.32/30,6255148,,,0,0
2.16.8.36/30,2510769,,,0,0
2.16.8.40/30,6255148,,,0,0
2.16.8.44/30,2510769,,,0,0
2.16.8.48/30,6255148,,,0,0
2.16.8.52/30,2510769,,,0,0
2.16.8.56/30,6255148,,,0,0
2.16.8.60/30,2510769,,,0,0
2.16.8.64/30,6255148,,,0,0
2.16.8.68/30,2510769,,,0,0
2.16.8.72/30,6255148,,,0,0
2.16.8.76/30,2510769,,,0,0
2.16.8.80/30,6255148,,,0,0
2.16.8.84/31,2510769,,,0,0
2.16.8.86/32,6255148,,,0,0
2.16.8.87/32,2510769,,,0,0
2.16.8.88/30,6255148,,,0,0
2.16.8.92/30,2510769,,,0,0
2.16.8.96/27,6255148,,,0,0
2.16.8.128/25,6255148,,,0,0
2.16.9.0/24,6255148,,,0,0
2.16.10.0/25,6255148,,,0,0
2.16.10.128/26,6255148,,,0,0
2.16.10.192/30,6255148,,,0,0
2.16.10.196/30,2017370,,,0,0
2.16.10.200/30,6255148,,,0,0
2.16.10.204/30,2017370,,,0,0
2.16.10.208/30,6255148,,,0,0
2.16.10.212/30,2017370,,,0,0
2.16.10.216/30,6255148,,,0,0
2.16.10.220/32,6255148,,,0,0
2.16.10.221/32,2017370,,,0,0
2.16.10.222/31,2017370,,,0,0
2.16.10.224/30,6255148,,,0,0
2.16.10.228/30,2017370,,,0,0
2.16.10.232/30,6255148,,,0,0
2.16.10.236/30,2017370,,,0,0
2.16.10.240/30,6255148,,,0,0
2.16.10.244/31,2017370,,,0,0
2.16.10.246/31,6255148,,,0,0
2.16.10.248/29,6255148,,,0,0
2.16.11.0/24,6255148,,,0,0
2.16.12.0/22,6255148,,,0,0
2.16.16.0/23,6255148,,,0,0
2.16.18.0/24,6255148,,,0,0
2.16.19.0/28,6255148,,,0,0
2.16.19.16/30,6255148,,,0,0
2.16.19.20/30,390903,,,0,0
2.16.19.24/30,6255148,,,0,0
2.16.19.28/30,390903,,,0,0
2.16.19.32/27,6255148,,,0,0
2.16.19.64/26,6255148,,,0,0
2.16.19.128/25,6255148,,,0,0
2.16.20.0/23,6255148,,,0,0
2.16.22.0/27,6255148,,,0,0
2.16.22.32/28,6255148,,,0,0
2.16.22.48/29,6255148,,,0,0
2.16.22.56/30,6255148,,,0,0
2.16.22.60/31,6255148,,,0,0
2.16.22.62/31,3175395,,,0,0
2.16.22.64/28,6255148,,,0,0
2.16.22.80/29,6255148,,,0,0
2.16.22.88/30,6255148,,,0,0
2.16.22.92/31,6255148,,,0,0
2.16.22.94/31,3175395,,,0,0
2.16.22.96/27,6255148,,,0,0
2.16.22.128/26,6255148,,,0,0
2.16.22.192/31,6255148,,,0,0
2.16.22.194/32,6255148,,,0,0
2.16.22.195/32,3175395,,,0,0
2.16.22.196/32,3175395,,,0,0
2.16.22.197/32,6255148,,,0,0
2.16.22.198/31,6255148,,,0,0
2.16.22.200/29,6255148,,,0,0
2.16.22.208/29,6255148,,,0,0
2.16.22.216/31,6255148,,,0,0
2.16.22.218/31,3175395,,,0,0
2.16.22.220/32,3175395,,,0,0
2.16.22.221/32,6255148,,,0,0
2.16.22.222/31,6255148,,,0,0
2.16.22.224/32,6255148,,,0,0
2.16.22.225/32,3175395,,,0,0
2.16.22.226/31,3175395,,,0,0
2.16.22.228/32,3175395,,,0,0
2.16.22.229/32,6255148,,,0,0
2.16.22.230/31,6255148,,,0,0
2.16.22.232/32,6255148,,,0,0
2.16.22.233/32,3175395,,,0,0
2.16.22.234/31,3175395,,,0,0
2.16.22.236/32,3175395,,,0,0
2.16.22.237/32,6255148,,,0,0
2.16.22.238/31,6255148,,,0,0
2.16.22.240/32,6255148,,,0,0
2.16.22.241/32,3175395,,,0,0
2.16.22.242/31,3175395,,,0,0
2.16.22.244/32,3175395,,,0,0
2.16.22.245/32,6255148,,,0,0
2.16.22.246/31,6255148,,,0,0
2.16.22.248/32,6255148,,,0,0
2.16.22.249/32,3175395,,,0,0
2.16.22.250/31,6255148,,,0,0
2.16.22.252/30,6255148,,,0,0
2.16.23.0/24,6255148,,,0,0
2.16.24.0/21,6255148,,,0,0
2.16.32.0/22,6255148,,,0,0
2.16.36.0/24,2077456,294640,,0,0
2.16.37.0/24,2635167,294640,,0,0
2.16.38.0/23,6255148,,,0,0
2.16.40.0/21,6255148,,,0,0
2.16.48.0/30,6255148,,,0,0
2.16.48.4/30,2635167,,,0,0
2.16.48.8/30,6255148,,,0,0
2.16.48.12/30,2635167,,,0,0
2.16.48.16/30,6255148,,,0,0
2.16.48.20/30,2635167,,,0,0
2.16.48.24/30,6255148,,,0,0
2.16.48.28/30,2635167,,,0,0
2.16.48.32/30,6255148,,,0,0
2.16.48.36/30,2635167,,,0,0
2.16.48.40/30,6255148,,,0,0
2.16.48.44/30,2635167,,,0,0
2.16.48.48/30,6255148,,,0,0
2.16.48.52/30,2635167,,,0,0
2.16.48.56/30,6255148,,,0,0
2.16.48.60/30,2635167,,,0,0
2.16.48.64/30,6255148,,,0,0
2.16.48.68/30,2635167,,,0,0
2.16.48.72/30,6255148,,,0,0
2.16.48.76/30,2635167,,,0,0
2.16.48.80/30,6255148,,,0,0
2.16.48.84/30,2635167,,,0,0
2.16.48.88/30,6255148,,,0,0
2.16.48.92/30,2635167,,,0,0
2.16.48.96/30,6255148,,,0,0
2.16.48.100/30,2635167,,,0,0
2.16.48.104/30,6255148,,,0,0
2.16.48.108/30,2635167,,,0,0
2.16.48.112/30,6255148,,,0,0
2.16.48.116/30,2635167,,,0,0
2.16.48.120/30,6255148,,,0,0
2.16.48.124/30,2635167,,,0,0
2.16.48.128/28,6255148,,,0,0
2.16.48.144/30,2635167,,,0,0
2.16.48.148/30,6255148,,,0,0
2.16.48.152/30,2635167,,,0,0
2.16.48.156/30,6255148,,,0,0
2.16.48.160/30,2635167,,,0,0
2.16.48.164/30,6255148,,,0,0
2.16.48.168/30,2635167,,,0,0
2.16.48.172/30,6255148,,,0,0
2.16.48.176/30,2635167,,,0,0
2.16.48.180/30,6255148,,,0,0
2.16.48.184/30,2635167,,,0,0
2.16.48.188/30,6255148,,,0,0
2.16.48.192/30,2635167,,,0,0
2.16.48.196/30,6255148,,,0,0
2.16.48.200/30,2635167,,,0,0
2.16.48.204/30,6255148,,,0,0
2.16.48.208/30,2635167,,,0,0
2.16.48.212/30,6255148,,,0,0
2.16.48.216/30,2635167,,,0,0
2.16.48.220/30,6255148,,,0,0
2.16.48.224/30,2635167,,,0,0
2.16.48.228/30,6255148,,,0,0
2.16.48.232/30,2635167,,,0,0
2.16.48.236/30,6255148,,,0,0
2.16.48.240/31,2635167,,,0,0
2.16.48.242/31,6255148,,,0,0
2.16.48.244/30,6255148,,,0,0
2.16.48.248/29,6255148,,,0,0
2.16.49.0/24,6255148,,,0,0
2.16.50.0/23,6255148,,,0,0
2.16.52.0/22,6255148,,,0,0
2.16.56.0/22,6255148,,,0,0
2.16.60.0/30,6255148,,,0,0
2.16.60.4/30,3077311,,,0,0
2.16.60.8/30,6255148,,,0,0
2.16.60.12/30,3077311,,,0,0
2.16.60.16/30,6255148,,,0,0
2.16.60.20/30,3077311,,,0,0
2.16.60.24/30,6255148,,,0,0
2.16.60.28/31,3077311,,,0,0
2.16.60.30/32,3077311,,,0,0
2.16.60.31/32,6255148,,,0,0
2.16.60.32/27,6255148,,,0,0
2.16.60.64/30,6255148,,,0,0
2.16.60.68/30,3077311,,,0,0
2.16.60.72/30,6255148,,,0,0
2.16.60.76/30,3077311,,,0,0
2.16.60.80/30,6255148,,,0,0
2.16.60.84/30,3077311,,,0,0
2.16.60.88/30,6255148,,,0,0
2.16.60.92/30,3077311,,,0,0
2.16.60.96/30,6255148,,,0,0
2.16.60.100/30,3077311,,,0,0
2.16.60.104/30,6255148,,,0,0
2.16.60.108/30,3077311,,,0,0
2.16.60.112/30,6255148,,,0,0
2.16.60.116/31,3077311,,,0,0
2.16.60.118/32,6255148,,,0,0
2.16.60.119/32,3077311,,,0,0
2.16.60.120/30,6255148,,,0,0
2.16.60.124/32,3077311,,,0,0
2.16.60.125/32,6255148,,,0,0
2.16.60.126/32,3077311,,,0,0
2.16.60.127/32,6255148,,,0,0
2.16.60.128/30,6255148,,,0,0
2.16.60.132/30,3077311,,,0,0
2.16.60.136/30,6255148,,,0,0
2.16.60.140/30,3077311,,,0,0
2.16.60.144/30,6255148,,,0,0
2.16.60.148/30,3077311,,,0,0
2.16.60.152/30,6255148,,,0,0
2.16.60.156/30,3077311,,,0,0
2.16.60.160/30,6255148,,,0,0
2.16.60.164/32,3077311,,,0,0
2.16.60.165/32,6255148,,,0,0
2.16.60.166/31,6255148,,,0,0
2.16.60.168/29,6255148,,,0,0
2.16.60.176/28,6255148,,,0,0
2.16.60.192/26,6255148,,,0,0
2.16.61.0/27,6255148,,,0,0
2.16.61.32/29,6255148,,,0,0
2.16.61.40/30,6255148,,,0,0
2.16.61.44/32,6255148,,,0,0
2.16.61.45/32,2921044,,,0,0
2.16.61.46/31,2921044,,,0,0
2.16.61.48/30,6255148,,,0,0
2.16.61.52/30,2921044,,,0,0
2.16.61.56/30,6255148,,,0,0
2.16.61.60/30,2921044,,,0,0
2.16.61.64/30,6255148,,,0,0
2.16.61.68/30,2921044,,,0,0
2.16.61.72/30,6255148,,,0,0
2.16.61.76/30,2921044,,,0,0
2.16.61.80/30,6255148,,,0,0
2.16.61.84/30,2921044,,,0,0
2.16.61.88/30,6255148,,,0,0
2.16.61.92/30,2921044,,,0,0
2.16.61.96/30,6255148,,,0,0
2.16.61.100/30,2921044,,,0,0
2.16.61.104/30,6255148,,,0,0
2.16.61.108/30,2921044,,,0,0
2.16.61.112/30,6255148,,,0,0
2.16.61.116/32,2921044,,,0,0
2.16.61.117/32,6255148,,,0,0
2.16.61.118/31,6255148,,,0,0
2.16.61.120/29,6255148,,,0,0
2.16.61.128/25,6255148,,,0,0
2.16.62.0/23,6255148,,,0,0
2.16.64.0/30,6255148,,,0,0
2.16.64.4/30,2921044,,,0,0
2.16.64.8/30,6255148,,,0,0
2.16.64.12/30,2921044,,,0,0
2.16.64.16/30,6255148,,,0,0
2.16.64.20/30,2921044,,,0,0
2.16.64.24/30,6255148,,,0,0
2.16.64.28/30,2921044,,,0,0
2.16.64.32/30,6255148,,,0,0
2.16.64.36/30,2921044,,,0,0
2.16.64.40/30,6255148,,,0,0
2.16.64.44/30,2921044,,,0,0
2.16.64.48/30,6255148,,,0,0
2.16.64.52/30,2921044,,,0,0
2.16.64.56/30,6255148,,,0,0
2.16.64.60/30,2921044,,,0,0
2.16.64.64/26,6255148,,,0,0
2.16.64.128/25,6255148,,,0,0
2.16.65.0/30,6255148,,,0,0
2.16.65.4/30,2264397,,,0,0
2.16.65.8/30,6255148,,,0,0
2.16.65.12/30,2264397,,,0,0
2.16.65.16/30,6255148,,,0,0
2.16.65.20/31,2264397,,,0,0
2.16.65.22/31,6255148,,,0,0
2.16.65.24/29,6255148,,,0,0
2.16.65.32/27,6255148,,,0,0
2.16.65.64/26,6255148,,,0,0
2.16.65.128/26,6255148,,,0,0
2.16.65.192/30,6255148,,,0,0
2.16.65.196/30,2264397,,,0,0
2.16.65.200/30,6255148,,,0,0
2.16.65.204/30,2264397,,,0,0
2.16.65.208/30,6255148,,,0,0
2.16.65.212/30,2264397,,,0,0
2.16.65.216/29,6255148,,,0,0
2.16.65.224/27,6255148,,,0,0
2.16.66.0/23,6255148,,,0,0
2.16.68.0/23,6255148,2661886,,0,0
2.16.70.0/23,6255148,3175395,,0,0
2.16.72.0/23,6255148,,,0,0
2.16.74.0/23,6255148,2750405,,0,0
2.16.76.0/22,6255148,,,0,0
2.16.80.0/21,6255148,,,0,0
2.16.88.0/30,6255148,,,0,0
2.16.88.4/30,298795,,,0,0
2.16.88.8/30,6255148,,,0,0
2.16.88.12/30,298795,,,0,0
2.16.88.16/30,6255148,,,0,0
2.16.88.20/30,298795,,,0,0
2.16.88.24/30,6255148,,,0,0
2.16.88.28/30,298795,,,0,0
2.16.88.32/30,6255148,,,0,0
2.16.88.36/30,298795,,,0,0
2.16.88.40/30,6255148,,,0,0
2.16.88.44/30,298795,,,0,0
2.16.88.48/30,6255148,,,0,0
2.16.88.52/30,298795,,,0,0
2.16.88.56/30,6255148,,,0,0
2.16.88.60/30,298795,,,0,0
2.16.88.64/30,6255148,,,0,0
2.16.88.68/30,298795,,,0,0
2.16.88.72/30,6255148,,,0,0
2.16.88.76/30,298795,,,0,0
2.16.88.80/30,6255148,,,0,0
2.16.88.84/30,298795,,,0,0
2.16.88.88/30,6255148,,,0,0
2.16.88.92/30,298795,,,0,0
2.16.88.96/30,6255148,,,0,0
2.16.88.100/30,298795,,,0,0
2.16.88.104/30,6255148,,,0,0
2.16.88.108/30,298795,,,0,0
2.16.88.112/30,6255148,,,0,0
2.16.88.116/30,298795,,,0,0
2.16.88.120/30,6255148,,,0,0
2.16.88.124/31,298795,,,0,0
2.16.88.126/31,6255148,,,0,0
2.16.88.128/25,6255148,,,0,0
2.16.89.0/24,6255148,,,0,0
2.16.90.0/23,6255148,,,0,0
2.16.92.0/22,6255148,,,0,0
2.16.96.0/22,6255148,,,0,0
2.16.100.0/29,6255148,,,0,0
2.16.100.8/30,6255148,,,0,0
2.16.100.12/30,2921044,,,0,0
2.16.100.16/30,6255148,,,0,0
2.16.100.20/30,2921044,,,0,0
2.16.100.24/30,6255148,,,0,0
2.16.100.28/30,2921044,,,0,0
2.16.100.32/30,6255148,,,0,0
2.16.100.36/30,2921044,,,0,0
2.16.100.40/30,6255148,,,0,0
2.16.100.44/30,2921044,,,0,0
2.16.100.48/30,6255148,,,0,0
2.16.100.52/30,2921044,,,0,0
2.16.100.56/30,6255148,,,0,0
2.16.100.60/31,2921044,,,0,0
2.16.100.62/32,2921044,,,0,0
2.16.100.63/32,6255148,,,0,0
2.16.100.64/27,6255148,,,0,0
2.16.100.96/28,6255148,,,0,0
2.16.100.112/29,6255148,,,0,0
2.16.100.120/30,6255148,,,0,0
2.16.100.124/30,2921044,,,0,0
2.16.100.128/30,6255148,,,0,0
2.16.100.132/32,2921044,,,0,0
2.16.100.133/32,6255148,,,0,0
2.16.100.134/31,6255148,,,0,0
2.16.100.136/30,6255148,,,0,0
2.16.100.140/30,2921044,,,0,0
2.16.100.144/28,6255148,,,0,0
2.16.100.160/27,6255148,,,0,0
2.16.100.192/26,6255148,,,0,0
2.16.101.0/30,6255148,,,0,0
2.16.101.4/30,2921044,,,0,0
2.16.101.8/30,6255148,,,0,0
2.16.101.12/30,2921044,,,0,0
2.16.101.16/30,6255148,,,0,0
2.16.101.20/30,2921044,,,0,0
2.16.101.24/30,6255148,,,0,0
2.16.101.28/30,2921044,,,0,0
2.16.101.32/30,6255148,,,0,0
2.16.101.36/30,2921044,,,0,0
2.16.101.40/30,6255148,,,0,0
2.16.101.44/30,2921044,,,0,0
2.16.101.48/30,6255148,,,0,0
2.16.101.52/30,2921044,,,0,0
2.16.101.56/30,6255148,,,0,0
2.16.101.60/30,2921044,,,0,0
2.16.101.64/30,6255148,,,0,0
2.16.101.68/30,2921044,,,0,0
2.16.101.72/30,6255148,,,0,0
2.16.101.76/30,2921044,,,0,0
2.16.101.80/30,6255148,,,0,0
2.16.101.84/30,2921044,,,0,0
2.16.101.88/30,6255148,,,0,0
2.16.101.92/30,2921044,,,0,0
2.16.101.96/30,6255148,,,0,0
2.16.101.100/30,2921044,,,0,0
2.16.101.104/30,6255148,,,0,0
2.16.101.108/30,2921044,,,0,0
2.16.101.112/30,6255148,,,0,0
2.16.101.116/30,2921044,,,0,0
2.16.101.120/29,6255148,,,0,0
2.16.101.128/25,6255148,,,0,0
2.16.102.0/24,6255148,,,0,0
2.16.103.0/28,6255148,,,0,0
2.16.103.16/30,6255148,,,0,0
2.16.103.20/31,6255148,,,0,0
2.16.103.22/32,6255148,,,0,0
2.16.103.23/32,2017370,,,0,0
2.16.103.24/30,6255148,,,0,0
2.16.103.28/32,6255148,,,0,0
2.16.103.29/32,2017370,,,0,0
2.16.103.30/31,2017370,,,0,0
2.16.103.32/30,6255148,,,0,0
2.16.103.36/30,2017370,,,0,0
2.16.103.40/30,6255148,,,0,0
2.16.103.44/30,2017370,,,0,0
2.16.103.48/30,6255148,,,0,0
2.16.103.52/30,2017370,,,0,0
2.16.103.56/30,6255148,,,0,0
2.16.103.60/30,2017370,,,0,0
2.16.103.64/30,6255148,,,0,0
2.16.103.68/30,2017370,,,0,0
2.16.103.72/30,6255148,,,0,0
2.16.103.76/30,2017370,,,0,0
2.16.103.80/30,6255148,,,0,0
2.16.103.84/32,2017370,,,0,0
2.16.103.85/32,6255148,,,0,0
2.16.103.86/31,6255148,,,0,0
2.16.103.88/29,6255148,,,0,0
2.16.103.96/27,6255148,,,0,0
2.16.103.128/25,6255148,,,0,0
2.16.104.0/23,6255148,,,0,0
2.16.106.0/30,6255148,,,0,0
2.16.106.4/30,2921044,,,0,0
2.16.106.8/30,6255148,,,0,0
2.16.106.12/30,2921044,,,0,0
2.16.106.16/30,6255148,,,0,0
2.16.106.20/30,2921044,,,0,0
2.16.106.24/30,6255148,,,0,0
2.16.106.28/30,2921044,,,0,0
2.16.106.32/30,6255148,,,0,0
2.16.106.36/31,2921044,,,0,0
2.16.106.38/31,6255148,,,0,0
2.16.106.40/29,6255148,,,0,0
2.16.106.48/28,6255148,,,0,0
2.16.106.64/26,6255148,,,0,0
2.16.106.128/25,6255148,,,0,0
2.16.107.0/24,6255148,,,0,0
2.16.108.0/30,6255148,,,0,0
2.16.108.4/30,2510769,,,0,0
2.16.108.8/30,6255148,,,0,0
2.16.108.12/32,2510769,,,0,0
2.16.108.13/32,6255148,,,0,0
2.16.108.14/31,2510769,,,0,0
2.16.108.16/30,6255148,,,0,0
2.16.108.20/30,2510769,,,0,0
2.16.108.24/30,6255148,,,0,0
2.16.108.28/30,2510769,,,0,0
2.16.108.32/30,6255148,,,0,0
2.16.108.36/30,2510769,,,0,0
2.16.108.40/30,6255148,,,0,0
2.16.108.44/30,2510769,,,0,0
2.16.108.48/30,6255148,,,0,0
2.16.108.52/30,2510769,,,0,0
2.16.108.56/30,6255148,,,0,0
2.16.108.60/30,2510769,,,0,0
2.16.108.64/30,6255148,,,0,0
2.16.108.68/30,2510769,,,0,0
2.16.108.72/30,6255148,,,0,0
2.16.108.76/30,2510769,,,0,0
2.16.108.80/30,6255148,,,0,0
2.16.108.84/30,2510769,,,0,0
2.16.108.88/30,6255148,,,0,0
2.16.108.92/31,2510769,,,0,0
2.16.108.94/31,6255148,,,0,0
2.16.108.96/30,6255148,,,0,0
2.16.108.100/30,2510769,,,0,0
2.16.108.104/30,6255148,,,0,0
2.16.108.108/30,2510769,,,0,0
2.16.108.112/30,6255148,,,0,0
2.16.108.116/30,2510769,,,0,0
2.16.108.120/30,6255148,,,0,0
2.16.108.124/30,2510769,,,0,0
2.16.108.128/30,6255148,,,0,0
2.16.108.132/30,2510769,,,0,0
2.16.108.136/30,6255148,,,0,0
2.16.108.140/30,2510769,,,0,0
2.16.108.144/30,6255148,,,0,0
2.16.108.148/30,2510769,,,0,0
2.16.108.152/30,6255148,,,0,0
2.16.108.156/30,2510769,,,0,0
2.16.108.160/30,6255148,,,0,0
2.16.108.164/30,2510769,,,0,0
2.16.108.168/29,6255148,,,0,0
2.16.108.176/28,6255148,,,0,0
2.16.108.192/26,6255148,,,0,0
2.16.109.0/24,6255148,,,0,0
2.16.110.0/23,6255148,,,0,0
2.16.112.0/23,6255148,,,0,0
2.16.114.0/24,6255148,,,0,0
2.16.115.0/26,6255148,,,0,0
2.16.115.64/29,6255148,,,0,0
2.16.115.72/30,6255148,,,0,0
2.16.115.76/30,2635167,,,0,0
2.16.115.80/30,6255148,,,0,0
2.16.115.84/30,2635167,,,0,0
2.16.115.88/30,6255148,,,0,0
2.16.115.92/30,2635167,,,0,0
2.16.115.96/30,6255148,,,0,0
